cyclone_name,type,year,reef_name,reef_id,year_before,year_after,cover_before_Tabular_Acropora,cover_after_Tabular_Acropora,cover_before_Corymbose_Acropora,cover_after_Corymbose_Acropora,cover_before_Corymbose_non_Acropora,cover_after_Corymbose_non_Acropora,cover_before_Small_Massives,cover_after_Small_Massives,cover_before_Large_Massives,cover_after_Large_Massives
unknown,m,2010.0,Reef 21-060,21060100104,2008,2010,0.047817624250036016,0.0032280414851062833,0.13502932345588284,0.012872999757372706,0.024923212530750947,0.0023711499971646394,0.040753857356219586,0.01477776084623167,0.018913266692613704,0.006372698330795845
unknown,c,2014.0,Reef 21-060,21060100104,2014,2016,0.0027458754274465144,0.001804897362620332,0.007550693349923018,0.005007061507433656,0.0035841370551018843,0.0010900661759523727,0.008780751739922737,0.007577647713743514,0.013441512383860259,0.008213645372084386
unknown,m,2014.0,Reef 21-062,21062100104,2010,2014,0.009907676537365904,0.0016707394598095204,0.06588729808880717,0.013067240122393863,0.0,0.0,0.1559781974179959,0.07821047798811079,0.020534236148836902,0.014925442789735063
unknown,c,2016.0,Reef 21-062,21062100104,2014,2016,0.0016707394598095204,0.0,0.013067240122393863,0.00441278100559718,0.0,0.0,0.07821047798811079,0.02301065777446891,0.014925442789735063,0.012302462686341794
Hamish,s,2009.1808219178083,Reef 21-064,21064100104,2008,2010,0.04114117650225473,0.006987074478051889,0.08913097629975435,0.021749579928646713,0.018638644935576966,0.003340788244589417,0.11956965774447742,0.07743205044330136,0.03213414515940959,0.015403789470651186
unknown,c,2014.0,Reef 21-064,21064100104,2010,2014,0.006987074478051889,0.0021700680448140178,0.021749579928646713,0.007504079205081303,0.003340788244589417,0.0023281715301336344,0.07743205044330136,0.0556020898406797,0.015403789470651186,0.017761549954432472
unknown,c,2018.0,Reef 21-064,21064100104,2016,2018,0.0016770393011292979,0.0,0.007316751375409255,0.0020278812130197464,0.002052047262567755,0.0007262409766671007,0.038730663087468135,0.01945872632960393,0.025528024750701622,0.01772399508411178
Hamish,s,2009.1808219178083,Reef 21-139,21139100104,2008,2010,0.013900453500372962,0.004954436756865465,0.03975513464424267,0.029198956422035297,0.0073505261317147064,0.006532436218287386,0.042356435971249155,0.04526521095391229,0.07799611851361461,0.05973764197652405
Hamish,s,2009.1808219178083,Reef 21-187,21187100104,2008,2010,0.04481654689666803,0.008815398294967667,0.0570386534920076,0.02371578638165183,0.04174249504772324,0.009736439464328785,0.09983356727462224,0.06300817020015714,0.05792653503864769,0.022162056638414102
Hamish,s,2009.1808219178083,Reef 21-245,21245100104,2008,2010,0.03917852775636565,0.011698905965216685,0.0879703475550424,0.04260637753947921,0.04768742434738457,0.01507463876537937,0.06393266004000638,0.03498250857298495,0.05438971070975556,0.03374139630984966
Edna,s,2014.0849315068492,Reef 21-296,21296100104,2014,2016,0.058371443680108485,0.058755069807789904,0.11535882030367334,0.10913617952403394,0.03408354010913091,0.03232911620460525,0.0306461776821527,0.028883813836856113,0.03471172051149876,0.034762752977674075
Hamish,s,2009.1808219178083,Reef 21-529,21529100104,2009,2011,0.1076022224795763,0.0005587133409814175,0.15862521440215185,0.0013422539695366437,0.029933365714751546,0.0,0.026271721149992107,0.002878248539009194,0.054008068822960435,0.005796067365724969
Hamish,s,2009.1808219178083,Reef 21-550,21550100104,2008,2010,0.09191464701083342,0.000762792959679181,0.3130412760832144,0.01754367581546982,0.021846651245758377,0.0004945021579970643,0.08136556212718249,0.012044338039152506,0.019088552619005987,0.0014791179766342828
Hamish,s,2009.1808219178083,Reef 21-558,21558100104,2008,2010,0.011978784561315943,0.009551305018887134,0.026456970239197165,0.01889132102849216,0.03332874531613935,0.02920124712091915,0.018291500236694413,0.029342044941788385,0.04451966834579992,0.0561132342869023
